
1.akiyo, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 35.11dB                                          
2.akiyo, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 19.13dB                                          
3.akiyo, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 50.09dB                                         
4.akiyo, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 48.35dB                                         
5.akiyo, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 34.59dB                                          
6.akiyo, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 13.63dB                                          
7.akiyo, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 50.42dB                                         
8.akiyo, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 48.10dB                                         
9.akiyo, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 51.69dB                                          
10.akiyo, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 36.79dB                                         
11.akiyo, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 51.74dB                                        
12.akiyo, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 49.81dB                                        
13.akiyo, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 9.25dB                                         
14.akiyo, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 9.74dB                                         
15.akiyo, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 33.38dB                                       
16.akiyo, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 33.31dB                                       
17.akiyo, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 21.08dB                                        
18.akiyo, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 11.88dB                                        
19.akiyo, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 34.67dB                                       
20.akiyo, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 33.59dB                                       
21.akiyo, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 36.39dB                                        
22.akiyo, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 26.03dB                                        
23.akiyo, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 36.37dB                                       
24.akiyo, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 35.21dB                                       
25.akiyo, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 23.88dB                                         
26.akiyo, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 14.33dB                                         
27.akiyo, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 44.05dB                                        
28.akiyo, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 43.08dB                                        
29.akiyo, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 26.55dB                                         
30.akiyo, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 12.18dB                                         
31.akiyo, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 44.28dB                                        
32.akiyo, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 42.80dB                                        
33.akiyo, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 46.17dB                                         
34.akiyo, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 35.50dB                                         
35.akiyo, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 45.93dB                                        
36.akiyo, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 45.08dB                                        
37.akiyo, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 9.21dB                                         
38.akiyo, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 10.02dB                                        
39.akiyo, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 33.48dB                                       
40.akiyo, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 33.24dB                                       
41.akiyo, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 20.32dB                                        
42.akiyo, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 11.09dB                                        
43.akiyo, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 34.59dB                                       
44.akiyo, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 33.40dB                                       
45.akiyo, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 36.36dB                                        
46.akiyo, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 25.79dB                                        
47.akiyo, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 36.31dB                                       
48.akiyo, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 35.12dB                                       
49.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 18.18dB                                        
50.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 10.93dB                                        
51.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 40.15dB                                       
52.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 39.39dB                                       
53.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 21.97dB                                        
54.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 12.83dB                                        
55.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 40.45dB                                       
56.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 39.74dB                                       
57.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 42.36dB                                        
58.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 33.31dB                                        
59.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 42.61dB                                       
60.akiyo, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 41.51dB                                       
61.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 10.20dB                                       
62.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 10.10dB                                       
63.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 33.50dB                                      
64.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 33.25dB                                      
65.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 19.18dB                                       
66.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 12.81dB                                       
67.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 34.37dB                                      
68.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 33.55dB                                      
69.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 36.25dB                                       
70.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 25.97dB                                       
71.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 36.25dB                                      
72.akiyo, DC_QP: 16, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 35.10dB                                      
